Date,Open,High,Adj_Close,Volume
6/10/2019,191.809998,195.369995,192.580002,2.54E+07
,186.509995,191.919998,190.149994,3.07E+07
6/6/2019,183.080002,185.470001,185.220001,2.25E+07
,,184.990005,182.539993,2.98E+07
6/4/2019,175.440002,179.830002,179.639999,3.10E+07
,,,173.300003,4.04E+07
5/31/2019,176.229996,177.990005,175.070007,2.70E+07
,,,,2.12E+07
5/29/2019,176.419998,179.350006,177.380005,2.85E+07
,,,,2.79E+07
5/24/2019,180.199997,182.139999,178.970001,2.37E+07
,,,,
5/22/2019,184.660004,185.710007,182.779999,2.97E+07
5/21/2019,185.220001,188,186.600006,2.84E+07
5/20/2019,,184.350006,183.089996,3.86E+07
5/17/2019,186.929993,190.899994,189,3.29E+07
5/16/2019,189.910004,,190.080002,3.30E+07
5/15/2019,186.270004,191.75,190.919998,2.65E+07
5/14/2019,,,,
5/13/2019,187.710007,189.479996,185.720001,5.74E+07
5/10/2019,197.419998,198.850006,197.179993,4.12E+07
5/9/2019,200.399994,201.679993,199.949997,
5/8/2019,201.899994,205.339996,202.121628,2.63E+07
5/7/2019,,207.419998,202.081787,3.88E+07
5/6/2019,,208.839996,207.680222,3.24E+07
5/3/2019,,211.839996,210.937683,2.09E+07
5/2/2019,209.839996,212.649994,208.347656,3.20E+07
5/1/2019,209.880005,215.309998,209.712402,6.48E+07
4/30/2019,203.059998,203.399994,199.900192,4.65E+07
4/29/2019,204.399994,205.970001,203.825073,2.22E+07
