Company name,Ticker,Exchange,Sector,Industry,Date--Current fiscal year,Date--Latest Quarterly EPS,EPS Est Q0,EPS Est Q0-High,EPS Est Q0-Low,EPS Est Q0-Last month,EPS Est Q0-3 Months Ago,EPS Est Q0-Number,EPS Est Q0-Revisions up,EPS Est Q0-Revisions down,EPS Est Q0-Std. dev.,EPS Est Q1,EPS Est Q1-High,EPS Est Q1-Low,EPS Est Q1-Last month,EPS Est Q1-3 Months Ago,EPS Est Q1-Number,EPS Est Q1-Revisions up,EPS Est Q1-Revisions down,EPS Est Q1-Std. dev.,EPS Est Y0,EPS Est Y0-High,EPS Est Y0-Low,EPS Est Y0-Last month,EPS Est Y0-3 Months Ago,EPS Est Y0-Number,EPS Est Y0-Revisions up,EPS Est Y0-Revisions down,EPS Est Y0-Std. dev.,EPS Est Y1,EPS Est Y1-High,EPS Est Y1-Low,EPS Est Y1-Last month,EPS Est Y1-3 Months Ago,EPS Est Y1-Number,EPS Est Y1-Revisions up,EPS Est Y1-Revisions down,EPS Est Y1-Std. dev.,EPS Est Y2,EPS Est Y2-High,EPS Est Y2-Low,EPS Est Y2-Last month,EPS Est Y2-3 Months Ago,EPS Est Y2-Number,EPS Est Y2-Revisions up,EPS Est Y2-Revisions down,EPS Est Y2-Std. dev.,EPS Growth Est,EPS Growth Est-High,EPS Growth Est-Low,EPS Growth Est-Last month,EPS Growth Est-Number,EPS Growth Est-Revisions up,EPS Growth Est-Revisions down,EPS Growth Est-Std. dev.,Quarterly Surprise-Date,Quarterly Surprise-EPS,Quarterly Surprise-Difference,Quarterly Surprise-Est,Quarterly Surprise-Percent,Quarterly Surprise-Std. dev.,Quarterly Surprise-SUE Q1,Qtrly Surprise-Prior Qtr-Date,Qtrly Surprise-Prior Qtr-EPS,Qtrly Surprise-Prior Qtr-Difference,Qtrly Surprise-Prior Qtr-Est,Qtrly Surprise-Prior Qtr-Percent,Qtrly Surprise-Prior Qtr-Std. dev.,Qtrly Surprise-Prior Qtr-SUE,,
1-800-Flowers.Com Inc,FLWS,Nasdaq,Consumer Cyclicals,Retailers - Miscellaneous Specialty,6/30/2021,12/31/2020,-0.088,###############################################################################################################################################################################################################################################################,-0.11,-0.087,-0.087,6,4,2,0.016,0.113,0.31,-0.08,1/0/1900,0.063,6,5,2,0.156,1.632,1.85,1.41,1.26,1.253,6,7,0,0.175,1.73,2.15,1.37,1.398,1.398,5,6,0,0.314,2.02,2.5,1.54,1.31,1.31,2,1,0,0.679,20,20,20,20,1,0,0,NA,1/28/2021,1.72,0.332,1.388,23.9,0.041,8.1,10/29/2020,###############################################################################################################################################################################################################################################################,0.03,-0.13,23.1,0.023,1.3,,
10X Genomics Inc,TXG,Nasdaq,Healthcare,"Medical Equipment, Supplies & Distribution",12/31/2020,9/30/2020,-0.228,###############################################################################################################################################################################################################################################################,-0.49,-0.229,-0.239,8,1,0,0.155,-0.144,-0.1,-0.22,###############################################################################################################################################################################################################################################################,-0.163,5,1,0,0.051,-1.515,-1.34,-1.77,-1.515,-1.527,7,0,0,0.17,-0.387,0.05,-0.79,-0.404,-0.431,8,1,1,0.267,0.161,0.75,-0.532,0.1,0.04,7,2,0,0.474,NA,NA,NA,NA,NA,NA,NA,NA,11/10/2020,-0.65,-0.345,-0.305,-113.1,0.053,-6.5,8/11/2020,###############################################################################################################################################################################################################################################################,0.143,-0.553,25.9,0.081,1.8,,
111 Inc - ADR,YI,Nasdaq,Technology,IT Services & Consulting,12/31/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.356,-0.356,-0.356,-0.349,-0.349,1,0,1,NA,-0.268,-0.268,-0.268,-0.255,-0.255,1,0,1,NA,-0.052,-0.052,-0.052,-0.046,-0.046,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/19/2020,NA,0,NA,NA,NA,0,8/20/2020,NA,0,NA,NA,NA,0,,
17 Education & Technology Grou,YQ,Nasdaq,Academic & Educational Services,Miscellaneous Educational Service Providers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
180 Degree Capital Corp,TURN,Nasdaq,Financials,Investment Management & Fund Operators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
180 Life Sciences Corp,ATNF,Nasdaq,Healthcare,Biotechnology & Medical Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1847 Goedeker Inc,GOED,American,Consumer Cyclicals,Retailers - Home Furnishings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1847 Holdings LLC,EFSH,Over the counter,Industrials,Business Support Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1895 Bancorp of Wisconsin Inc,BCOW,Nasdaq,Financials,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1life Healthcare Inc,ONEM,Nasdaq,Healthcare,Healthcare Facilities & Services,12/31/2020,9/30/2020,-0.138,###############################################################################################################################################################################################################################################################,-0.18,-0.137,-0.157,10,1,1,0.038,-0.152,-0.06,-0.23,###############################################################################################################################################################################################################################################################,-0.175,9,2,1,0.055,-0.822,-0.53,-0.93,-0.821,-0.872,10,1,1,0.115,-0.56,-0.04,-0.84,-0.583,-0.625,10,2,1,0.248,-0.446,0.25,-0.71,-0.418,-0.448,8,1,1,0.325,-56.02,-56.02,-56.02,-56.02,1,0,0,NA,11/10/2020,-0.13,0.063,-0.193,32.6,0.039,1.6,8/12/2020,###############################################################################################################################################################################################################################################################,0.095,-0.335,28.4,0.097,1,,
