ANN,DADDY,JAN,SUNDEEP,,ALL,ALL_SANS_SUNDEEP
AKAM,AVGO,CYBR,AL,,AKAM,AKAM
AUDC,COST,IIPR,AMZN,,AL,AUDC
CCS,HD,MED,AUDC,,AMZN,AVGO
CTXS,LUV,QQQ,BABA,,AUDC,CCS
CYBR,MSI,UNH,BRK-B,,AVGO,COST
FTNT,PRU,,CCS,,BABA,CTXS
IIPR,QQQ,,CYBR,,BRK-B,CYBR
LPLA,ROK,,FTNT,,CCS,FTNT
MA,,,GILD,,COST,HD
MED,,,IBM,,CTXS,IIPR
NMIH,,,IIPR,,CYBR,LPLA
QQQ,,,MED,,FTNT,LUV
TRU,,,MU,,GILD,MA
UNH,,,,,HD,MED
VEEV,,,,,IBM,MNST
WIZ,,,,,IIPR,MSI
OMCL,,,,,LPLA,NMIH
QLYS,,,,,LUV,OLED
MNST,,,,,MA,OMCL
OLED,,,,,MED,PRU
,,,,,MSI,QLYS
,,,,,MU,ROK
,,,,,NMIH,TRU
,,,,,PRU,UNH
,,,,,QQQ,VEEV
,,,,,ROK,
,,,,,TRU,
,,,,,UNH,
,,,,,VEEV,
,,,,,WIZ,
