AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,1.7,1.9,1.9,2.6,3.0,10.8,10.7,0.8,0.0,0.2,0.1,,,
Current_Liabilities,12.0,6.1,5.3,4.8,4.2,10.3,1.1,1.1,0.9,18.7,11.2,,,
Diluted_EPS,-0.081,-0.11,-0.122,-0.139,-0.13,-0.824,-0.085,-0.043,0.555,-0.746,-0.3879999999999999,,,
Goodwill_Intangibles,6.2,6.2,6.2,6.2,6.3,6.3,,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
LT_Debt,8.1,13.1,12.7,12.3,11.8,12.2,6.4,6.2,5.6,0.4,0.3,0.0,0.0,0.0
Revenue,0.5,0.4,0.3,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,,,
Shares_Diluted,12.317,12.2509,12.2165,12.0919,12.0431,12.0325,10.9319,10.8837,10.3524,9.9308,8.7404,8.3339,6.3077,5.0835
Total_Assets,8.1,8.2,8.4,9.0,9.3,17.1,10.9,1.0,0.2,0.2,0.1,,,
Total_Liabilities,20.1,19.2,18.0,17.1,16.1,22.6,7.5,7.4,6.5,19.1,11.5,,,
