AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,07/01/2022,04/01/2022,12/31/2021,10/01/2021,07/02/2021
Current_Assets,1060.7,988.7,988.0,1041.4,1048.1,,,
Current_Liabilities,630.4,601.6,610.6,642.1,652.4,,,
Diluted_EPS,0.527,1.001,0.863,1.828,0.916,0.657,1.01,1.289
Goodwill_Intangibles,2082.7,2046.9,1852.0,1926.7,2022.5,,,
Inventory,448.3,416.8,446.5,473.8,462.5,,,
LT_Debt,1216.9,1218.6,1132.4,1182.2,0.0,0.0,0.0,0.0
Revenue,684.0,664.1,620.3,1309.1,647.9,624.2,606.0,629.8
Shares_Diluted,60.4862,60.2292,60.1632,60.1455,60.1477,,,
Total_Assets,3849.1,3754.0,3539.9,3673.7,3781.3,,,
Total_Liabilities,2429.6,2403.8,2330.7,2431.8,1304.5,,,
