AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,49.6,61.1,70.1,80.3,91.9,101.2,111.1,118.3,26.4,,,,
Current_Liabilities,8.7,10.9,12.3,11.9,12.6,7.7,6.2,5.9,6.1,,,,
Diluted_EPS,-0.313,-0.472,-0.8,-0.221,-0.196,-0.13,-0.116,-0.08,-0.024,0.004,0.01,0.003,0.006
Goodwill_Intangibles,17.3,17.6,17.8,34.7,35.0,35.3,35.6,35.9,36.2,,,,
Inventory,12.2,12.2,10.3,7.9,6.4,5.4,4.4,3.9,3.9,,,,
LT_Debt,22.0,22.0,16.9,16.8,11.9,11.9,11.8,11.8,11.7,0.0,0.0,0.0,0.0
Revenue,9.1,7.9,10.7,11.7,11.1,10.1,9.4,8.3,9.1,10.2,9.0,6.0,6.1
Shares_Diluted,28.1815,28.1546,28.0903,28.0578,28.031,28.0538,28.0119,28.0119,27.1119,,,,
Total_Assets,141.0,152.3,160.3,182.2,184.1,166.5,169.2,172.6,76.1,,,,
Total_Liabilities,48.9,52.4,48.3,48.7,45.5,23.3,22.9,23.5,24.2,,,,
