AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,09/30/2021,07/31/2021,06/30/2021,04/30/2021,03/31/2021,01/31/2021,12/31/2020,10/31/2020,09/30/2020,07/31/2020,06/30/2020,04/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,3.2,4.8,3.7,2.3,0.9,2.3,251.6,4.0,242.1,2.9,244.8,4.9,185.9,4.4,204.0,4.7,215.0,5.5,255.1,214.9,247.2,252.9,251.6,218.5,264.6
Current_Liabilities,1.0,5.7,3.4,3.3,4.0,3.8,131.0,3.9,116.5,1.7,117.8,1.2,89.6,2.0,102.6,1.9,95.2,1.6,114.4,89.5,96.8,98.0,114.2,76.3,85.5
Diluted_EPS,-0.006,-0.009,-0.008,-0.009,-0.014,-0.013,0.68,-0.02,0.542,-0.018,0.296,-0.018,0.012,-0.002,0.233,-0.016,0.061,-0.019,-0.344,-0.37,0.063,-0.404,-0.126,-0.291,0.048
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,9.5,9.5,9.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,128.1,0.0,120.3,0.0,122.6,0.0,105.7,0.0,107.7,0.0,108.5,0.0,147.3,139.4,142.7,141.7,149.2,134.0,153.7
LT_Debt,0.0,0.0,0.0,0.9,1.0,1.3,76.4,1.6,97.5,0.0,113.5,0.0,92.4,0.0,99.8,0.0,125.6,0.0,148.2,135.1,151.8,158.6,143.6,137.1,166.8
Revenue,,0.0,0.0,0.0,0.0,0.0,245.3,0.0,247.4,0.0,214.7,0.0,184.6,0.0,212.7,0.0,192.0,0.0,203.0,180.4,215.7,218.5,197.4,196.2,222.0
Shares_Diluted,199.1803,173.9415,166.9125,147.2564,142.474,142.2164,27.5,141.2231,27.5,141.133,27.4,136.4308,26.0,132.993,26.2,132.9712,26.2,130.5344,25.9,25.4,25.6,25.5,25.3,25.1,25.1
Total_Assets,3.2,4.8,3.7,2.3,0.9,2.3,324.5,4.1,308.3,3.0,310.9,5.0,252.6,4.6,274.4,4.9,288.2,5.6,329.0,301.5,333.1,334.1,346.2,278.0,323.2
Total_Liabilities,1.0,5.7,3.4,4.3,5.0,5.0,238.5,5.5,241.4,1.7,259.3,1.2,209.3,2.0,231.7,2.5,252.0,0.8,294.7,258.6,281.5,284.6,287.0,216.0,254.5
