AAII_QTR_DATA,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,176.8,173.2,183.5,432.3,465.4,457.2,442.2,417.5,429.6,155.9,,,,,,,
Current_Liabilities,191.1,182.8,174.4,119.4,157.0,138.8,115.7,86.1,100.2,91.1,,,,,,,
Diluted_EPS,-0.247,-0.279,-0.071,-0.141,-0.143,-0.159,-0.13,-0.099,-0.17300000000000001,-0.053,-0.108,-0.067,-0.095,-0.038,-0.087,-0.055,-0.059000000000000004
Goodwill_Intangibles,1006.8,1014.6,1021.6,77.7,78.2,79.7,80.3,80.1,81.2,80.9,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,33.1,33.3,33.5,33.2,16.0,15.8,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,99.6,94.2,75.0,70.0,66.5,62.4,56.6,54.2,48.8,44.7,38.5,37.9,32.0,29.8,26.2,23.7,22.6
Shares_Diluted,110.3919,109.9986,100.3586,96.4311,95.6618,94.4023,92.8269,91.6002,84.6298,89.6431,,,,,,,
Total_Assets,1296.4,1296.8,1301.0,586.5,608.1,593.8,563.4,520.4,533.8,261.1,,,,,,,
Total_Liabilities,255.1,245.0,233.4,170.8,188.2,168.7,138.2,93.7,106.3,97.2,,,,,,,
