AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021
Current_Assets,135.7,114.1,121.7,112.3
Current_Liabilities,130.8,115.5,125.4,109.5
Diluted_EPS,0.097,0.03,0.083,0.023
Goodwill_Intangibles,6.7,6.9,7.5,7.5
Inventory,,0.0,0.0,0.4
LT_Debt,0.0,0.0,0.0,0.0
Revenue,370.3,166.5,346.7,164.3
Shares_Diluted,,,,
Total_Assets,245.3,228.7,244.2,218.2
Total_Liabilities,154.0,139.5,152.6,132.9
