AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,61.7,48.6,63.0,17.9,10.7,,,,,
Current_Liabilities,28.7,27.0,31.6,57.9,47.8,,,,,
Diluted_EPS,-0.103,-0.089,0.484,-0.465,,,-0.155,-0.169,,
Goodwill_Intangibles,12.5,12.5,12.5,12.5,12.5,,,,,
Inventory,32.7,20.5,16.6,9.9,5.2,,,,,
LT_Debt,59.5,18.3,17.7,21.0,9.8,0.0,0.0,0.0,0.0,0.0
Revenue,30.8,37.6,25.6,23.0,18.7,16.8,11.2,9.7,8.7,9.4
Shares_Diluted,25.7476,25.7476,25.7476,25.7476,,,,,,
Total_Assets,121.4,98.7,102.1,43.8,34.7,,,,,
Total_Liabilities,83.4,59.7,62.6,96.1,75.2,,,,,
