AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,158.5,162.5,169.1,177.1,169.2,175.9,178.5,188.1,70.1,,,,,,
Current_Liabilities,26.7,26.1,30.2,32.5,33.1,32.2,27.8,31.9,30.1,,,,,,
Diluted_EPS,-0.207,-0.176,-0.233,-0.008,-0.167,-0.213,-0.174,-0.195,-0.164,-0.149,-0.142,,-0.273,,
Goodwill_Intangibles,4.1,4.1,4.0,4.1,8.3,8.4,8.4,8.5,8.5,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,22.2,23.0,22.7,24.6,26.6,26.9,25.6,24.7,25.5,23.9,21.0,19.1,17.9,18.4,17.3
Shares_Diluted,39.3305,39.0418,38.6682,38.1704,38.0303,38.0391,37.8328,37.8032,36.596,,,,,,
Total_Assets,190.8,195.8,203.4,212.1,209.6,192.3,195.1,204.8,87.1,,,,,,
Total_Liabilities,47.7,47.8,52.7,55.7,57.0,34.8,31.0,35.2,33.4,,,,,,
