AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,03/31/2021
Current_Assets,61.7,73.1,,
Current_Liabilities,69.3,51.4,,
Diluted_EPS,-0.174,-0.604,-2.593,-0.724
Goodwill_Intangibles,14.5,15.1,,
Inventory,18.8,16.3,,
LT_Debt,30.0,34.0,0.0,0.0
Revenue,9.0,7.5,11.2,3.1
Shares_Diluted,72.423,72.4376,,
Total_Assets,139.0,152.9,,
Total_Liabilities,133.9,142.8,,
