AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017
Current_Assets,381.8,501.8,451.1,414.3,346.9,168.8,216.1,259.8,209.8,198.1
Current_Liabilities,150.3,226.1,213.9,180.9,156.0,139.2,312.6,265.8,216.0,273.9
Diluted_EPS,-0.985,0.517,-2.636,-4.131,4.221,13.916,2.573,-1.261,-0.302,2.833
Goodwill_Intangibles,1.0,1.0,0.9,0.9,0.6,0.6,7.6,3.1,3.2,3.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,38.6,43.3,45.4,46.9,33.9,34.9,56.1,0.0,0.0,0.0
Revenue,7.0,11.6,5.8,4.9,6.8,5.4,4.4,15.8,5.0,1.9
Shares_Diluted,28.7754,28.7171,28.6011,28.5604,29.3658,28.2275,28.5662,28.286,26.4837,24.2389
Total_Assets,823.2,946.0,896.9,990.0,1105.5,941.2,618.3,441.8,434.9,339.8
Total_Liabilities,241.4,352.5,328.9,320.2,321.8,273.1,268.1,166.3,121.5,129.9
