AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,10.5,0.0,8.3,0.5,,0.8,
Current_Liabilities,40.4,1.1,27.9,0.1,,0.0,
Diluted_EPS,-0.69,0.34700000000000003,-0.245,0.196,-0.217,0.6809999999999999,-0.135
Goodwill_Intangibles,2.0,0.0,1.8,0.0,,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.0,6.1,0.0,0.0,0.0,0.0
Revenue,35.5,0.0,16.4,0.0,30.5,0.0,14.6
Shares_Diluted,25.769,12.83,25.769,12.83,,12.83,
Total_Assets,13.0,101.1,10.6,100.5,,100.9,
Total_Liabilities,39.9,9.3,33.2,7.7,,0.0,
