AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,79.6,83.8,77.7,88.1,95.4,104.2,117.9,120.4,122.3,128.6,162.4,87.9,94.1,29.2,41.4
Current_Liabilities,6.4,5.7,4.5,4.5,5.2,5.6,4.9,5.5,5.2,6.3,5.8,6.2,5.7,10.5,11.5
Diluted_EPS,-0.435,-0.616,-0.324,-0.385,-0.534,-0.661,-0.397,-0.467,-0.486,-1.644,-0.429,-0.425,-0.234,-1.757,-0.72
Goodwill_Intangibles,0.9,0.9,4.3,4.8,5.3,5.6,5.7,6.1,6.0,6.0,7.4,7.7,8.0,6.4,8.6
Inventory,11.0,10.7,10.0,10.8,10.5,10.0,9.4,10.0,9.8,7.0,8.7,8.7,7.5,4.7,4.6
LT_Debt,9.4,10.1,1.2,1.3,1.5,1.5,1.4,1.6,1.6,1.8,2.4,2.5,2.6,8.7,12.2
Revenue,2.6,1.8,2.7,2.7,1.9,1.4,3.4,3.5,0.9,9.6,2.9,1.3,1.5,5.4,0.9
Shares_Diluted,20.9222,20.8768,20.8561,20.7897,20.7795,20.7751,20.4065,20.3501,20.277,17.2947,18.7085,16.097,14.6554,11.0987,10.9222
Total_Assets,82.7,87.0,87.9,98.6,108.4,117.2,126.4,129.5,131.2,137.6,173.3,99.0,105.9,38.5,53.8
Total_Liabilities,16.9,16.8,6.7,6.9,7.8,8.3,7.5,8.1,8.3,9.5,9.6,9.4,9.6,20.1,24.6
