AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,466.5,433.7,406.3,397.4,507.7,499.2,465.2,425.3,349.1
Current_Liabilities,99.1,94.9,85.1,101.3,76.0,74.3,87.1,96.6,86.5
Diluted_EPS,0.2,0.074,0.142,0.202,0.239,0.331,0.222,0.376,0.218
Goodwill_Intangibles,715.3,719.0,726.0,731.2,583.6,550.1,552.4,554.8,560.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,240.0,240.0,240.0,240.7,240.8,240.4,240.2,240.0,240.0
Revenue,165.2,142.7,171.4,163.4,146.8,168.2,148.0,155.8,154.2
Shares_Diluted,90.228,89.834,89.601,85.945,88.324,87.858,88.614,88.853,85.14399999999999
Total_Assets,1297.1,1271.8,1251.1,1244.3,1197.1,1159.7,1132.7,1078.5,1006.9
Total_Liabilities,385.2,381.5,373.2,389.4,362.9,361.8,372.3,365.1,355.1
