AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,540.0,516.7,580.5,673.0,649.1,479.6,367.0,251.5,,
Current_Liabilities,786.1,893.7,1039.9,1290.6,1233.9,616.1,789.4,371.8,,
Diluted_EPS,0.36,0.055,0.7,0.322,-0.502,,-0.86,-2.492,-0.695,0.496
Goodwill_Intangibles,,0.0,76.8,76.8,76.8,76.6,106.5,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1251.7,1255.0,1377.4,1519.9,1630.4,1033.9,883.5,836.1,0.0,0.0
Revenue,590.1,684.8,865.0,908.4,598.9,463.3,365.7,648.0,754.2,311.4
Shares_Diluted,167.31,167.88,169.007,169.492,169.49,,,170.6423,,
Total_Assets,6111.7,6019.8,6229.6,6273.7,6174.5,5157.5,5068.5,3760.5,,
Total_Liabilities,5210.2,5171.7,5384.7,5658.4,5756.1,4475.3,4469.3,1422.8,,
