AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,8.5,12.4,4.5,2.8,4.9,6.9,5.1,2.5,4.4,0.8,1.7,0.9,0.6,0.6,0.9,1.3,1.0,1.0,1.3,1.6,1.7,1.6
Current_Liabilities,7.0,5.0,4.6,3.8,3.4,3.1,3.3,3.2,3.3,9.2,18.6,25.8,24.2,30.7,28.5,23.5,19.6,23.9,16.8,19.0,17.5,15.0
Diluted_EPS,-0.171,-0.156,-0.239,-0.076,-0.198,-0.805,-0.672,-0.461,0.057,-2.45,0.194,-1.3130000000000002,0.0,-0.001,-0.001,-0.008,0.001,-0.201,0.005,-0.4029999999999999,-0.4029999999999999,-0.649
Goodwill_Intangibles,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.3,1.3,1.4,1.5
Inventory,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,1.0,1.0,1.1,2.1
LT_Debt,6.1,5.3,0.0,1.0,0.9,8.1,8.0,7.9,8.0,13.2,0.0,0.0,0.0,0.0,0.0,4.8,4.9,5.0,5.2,5.0,5.1,5.1
Revenue,0.1,0.0,0.0,0.6,0.6,0.1,0.0,0.4,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.2,0.3,0.0,0.5,0.4,0.1
Shares_Diluted,35.57,33.5467,33.1591,30.5874,21.6712,4.457,3.8149,3.6691,32.5115,2.4522,13.3697,1.0337,56999.0,4034.987,1457.404,502.6834,3591.903,42.1482,76.8069,19.7832,10.9964,9.1132
Total_Assets,14.6,18.7,10.3,8.8,10.8,12.8,11.4,8.9,11.0,7.4,8.5,5.8,5.5,5.6,6.0,6.5,6.2,6.3,7.1,7.5,7.7,7.8
Total_Liabilities,16.7,14.1,8.6,9.0,8.8,15.7,16.1,16.0,16.3,27.6,24.0,25.8,24.3,30.7,28.5,28.4,24.6,28.9,22.1,24.0,25.4,20.2
