AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,40.1,45.1,56.5,59.2,23.9,20.4,,,,
Current_Liabilities,27.4,21.3,9.8,4.1,6.7,5.9,,,,
Diluted_EPS,0.002,0.121,0.025,0.129,0.078,0.132,0.253,0.068,-0.013000000000000001,0.14
Goodwill_Intangibles,83.1,88.8,25.4,23.1,23.6,22.4,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,5.9,5.9,5.9,0.0,0.0,0.0,0.0
Revenue,15.9,19.6,10.3,10.1,10.4,11.5,10.3,7.4,6.3,4.1
Shares_Diluted,36.0576,37.2141,34.0652,36.1846,31.4012,33.8064,,,,
Total_Assets,131.8,139.6,91.0,91.6,55.1,50.4,,,,
Total_Liabilities,46.9,48.1,11.1,11.4,14.1,13.2,,,,
