AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,89.5,111.9,101.8,94.8,83.7,74.4,72.4,75.3,78.8
Current_Liabilities,24.6,27.7,24.8,25.2,24.1,23.3,21.6,22.7,21.7
Diluted_EPS,-0.08,-0.046,-0.106,-0.004,0.02,-0.023,-0.047,-0.014,0.017
Goodwill_Intangibles,21.0,6.7,6.8,6.9,7.0,7.1,7.2,7.3,7.7
Inventory,8.2,8.1,8.0,7.5,8.7,9.2,9.3,9.8,8.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,26.0,28.3,28.2,29.3,31.0,29.0,28.3,26.1,32.6
Shares_Diluted,23.562,23.301,23.342,23.052,23.94,22.757,22.542,22.239,23.338
Total_Assets,208.9,207.4,201.1,205.9,202.6,197.7,193.4,179.9,180.1
Total_Liabilities,54.7,54.6,51.1,52.8,51.2,50.0,47.9,38.0,37.7
