AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,1585.7,1620.0,2459.3,2575.3,3043.1,796.7,777.4,717.2,724.5,675.2,649.5,602.0,572.5,663.5
Current_Liabilities,212.6,249.0,230.5,194.9,618.0,341.8,345.1,311.1,265.6,225.8,211.1,205.8,197.0,283.0
Diluted_EPS,,-0.155,-0.277,-0.128,28.281,0.579,1.492,0.527,0.32,0.35,0.882,0.185,0.124,0.177
Goodwill_Intangibles,1114.4,1088.3,692.0,625.6,638.3,647.2,655.9,806.3,723.0,732.9,665.5,726.7,734.6,732.6
Inventory,150.7,145.9,85.5,81.2,77.8,70.1,60.4,154.7,128.0,123.9,37.1,117.7,107.7,105.2
LT_Debt,0.0,0.9,0.1,0.0,0.0,49.7,49.7,49.7,49.7,49.8,49.9,50.2,50.8,51.1
Revenue,148.4,178.4,137.6,132.7,145.5,139.7,513.7,129.1,129.5,118.1,388.5,220.4,220.2,210.5
Shares_Diluted,69.111,72.543,74.951,74.989,74.958,74.866,74.229,74.296,74.265,74.283,73.557,73.86,73.789,73.645
Total_Assets,3249.8,3292.4,3716.1,3722.7,4159.0,1854.9,1819.5,1763.3,1664.1,1614.7,1559.3,1503.9,1479.3,1559.0
Total_Liabilities,354.6,421.0,352.7,294.9,694.1,487.5,494.2,455.4,398.1,362.6,345.7,329.1,318.2,400.3
