AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,1817.6,2058.3,2292.9,2634.6,2571.3,3456.6,2555.1,2818.1,3513.8,2860.0,2583.0,2158.6,1792.7,1857.1,1749.3,,,,,
Current_Liabilities,813.2,903.2,927.2,1105.5,1031.3,1481.7,1303.7,1243.0,1282.7,1384.4,1093.7,772.2,539.9,535.8,327.6,,,,,
Diluted_EPS,-0.787,-0.981,-1.205,-3.717,-2.268,-1.386,-1.249,-1.048,-0.029,0.183,0.203,0.313,-0.198,-0.198,-0.178,-0.17,-0.138,-0.377,-0.195,-0.039
Goodwill_Intangibles,70.5,74.5,78.5,82.5,259.4,453.6,450.8,458.0,143.8,79.7,54.4,55.1,55.4,55.8,22.6,,,,,
Inventory,625.7,790.6,993.2,1104.5,1410.0,1541.3,1269.2,937.1,614.2,522.8,364.0,244.5,194.2,243.6,205.6,,,,,
LT_Debt,1677.5,1676.1,1674.7,1554.0,855.3,846.7,838.2,829.8,821.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,748.9,792.7,616.5,678.7,964.3,1133.9,805.2,936.8,1262.3,1064.8,757.9,607.1,524.6,466.3,228.0,223.3,316.7,262.9,112.1,106.6
Shares_Diluted,350.4266,341.9309,339.0112,337.7377,333.8646,317.1103,301.1615,298.7417,295.6468,347.8867,342.102,284.5013,280.879,279.9748,279.3905,,,,,
Total_Assets,3016.3,3301.1,3592.5,4028.5,4414.8,5482.5,4414.5,4485.6,4712.4,3910.5,3477.5,2981.8,2569.4,2584.2,2387.7,,,,,
Total_Liabilities,3143.3,3270.6,3334.0,3435.6,2661.8,3113.6,2907.6,2731.5,2719.0,1982.2,1676.5,1303.8,1052.1,1039.0,811.7,,,,,
