AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,170.1,207.4,201.4,199.1,209.1,238.8,261.4,276.2,330.8,397.2,420.7,527.9,599.6,661.3,740.4,699.9,664.8,726.6
Current_Liabilities,109.7,145.3,138.1,133.9,138.8,165.0,187.9,204.0,252.6,300.6,332.3,460.2,587.9,597.1,616.0,523.2,468.0,524.5
Diluted_EPS,-0.005,-0.025,-0.145,-0.046,-0.039,-0.04,-0.015,-0.045,-1.058,-0.067,-0.173,-0.242,-0.467,-0.017,-0.214,-0.192,-0.077,0.037
Goodwill_Intangibles,33.7,35.9,36.2,53.7,54.1,41.3,41.9,42.4,57.9,62.2,64.0,53.7,62.5,62.5,67.8,69.4,72.0,76.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.7,1.4,1.4,1.8,2.0,2.2,2.5,2.7,3.3,3.5,2.8,1.6,1.5,1.6,0.9,0.6,0.0,0.0
Revenue,3.9,11.0,5.2,5.9,10.4,16.2,22.8,11.0,17.2,17.9,4.9,25.8,70.8,132.1,81.5,71.6,71.1,115.1
Shares_Diluted,123.7587,123.7582,123.7043,123.6933,123.6407,123.6523,123.643,123.5302,123.4538,123.4329,123.3817,123.3519,123.217,123.1866,123.1146,123.0636,125.9332,126.4445
Total_Assets,266.2,306.3,300.1,313.7,325.7,359.2,387.1,406.3,462.8,646.8,690.6,849.2,1034.5,1106.8,1129.4,1058.6,989.0,1056.4
Total_Liabilities,109.1,147.6,141.0,139.4,145.8,174.1,197.8,214.9,262.4,315.2,349.3,478.7,609.4,630.3,649.8,556.1,483.6,542.2
