AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,03/31/2021
Current_Assets,338.8,352.4,368.0,39.3,45.2,,,
Current_Liabilities,21.7,15.9,13.7,9.8,9.0,,,
Diluted_EPS,-0.141,-0.005,-0.01,-0.017,-0.023,-0.048,-0.001,0.0
Goodwill_Intangibles,3.9,3.9,3.6,3.7,3.8,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,17.6,20.0,11.0,4.4,4.0,9.5,2.1,2.3
Shares_Diluted,202.7177,279.13,177.9622,280.23,173.5189,280.23,,
Total_Assets,354.6,367.0,379.6,49.7,53.8,,,
Total_Liabilities,41.3,27.3,40.5,11.1,10.5,,,
