AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,9.2,11.9,14.3,39.8,42.9,46.5,26.0,23.9,19.7
Current_Liabilities,9.7,13.9,17.4,31.6,10.9,11.4,8.2,8.9,8.3
Diluted_EPS,-0.3,-0.994,1.83,-0.199,-0.134,-0.179,-0.037,-0.256,-0.003
Goodwill_Intangibles,1.1,1.1,1.1,17.4,17.4,17.9,17.6,18.8,21.0
Inventory,4.9,4.9,4.8,4.2,3.9,4.9,4.6,4.1,4.6
LT_Debt,1.2,0.8,0.8,2.0,20.9,20.7,22.6,33.2,23.3
Revenue,8.5,6.6,10.2,5.4,7.6,5.5,9.4,4.7,10.0
Shares_Diluted,28.6174,28.1,28.7886,29.0,29.6229,27.0944,27.0898,25.0562,25.2101
Total_Assets,32.4,44.8,76.3,68.8,72.2,76.6,56.1,55.3,54.4
Total_Liabilities,11.3,15.1,18.6,53.0,50.8,51.2,48.7,56.4,49.4
