AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,06/30/2019
Current_Assets,99.3,74.7,111.5,121.9,113.2,103.5,162.3,156.4,143.8,139.6,165.6,79.9,,,
Current_Liabilities,87.4,78.9,105.4,220.5,58.8,52.2,85.6,82.7,77.3,73.0,47.8,51.7,,,
Diluted_EPS,0.316,0.089,0.228,0.152,0.197,0.272,0.025,0.127,0.168,0.431,0.014,0.457,0.121,-0.508,-0.193
Goodwill_Intangibles,886.2,890.6,908.5,913.1,135.2,134.8,134.4,133.7,126.1,126.1,126.3,132.9,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,354.6,354.2,440.7,447.5,27.5,27.0,55.3,54.1,50.2,50.7,101.2,102.8,0.0,0.0,0.0
Revenue,89.4,86.6,80.6,62.0,35.8,33.4,29.8,33.5,28.8,99.1,24.1,51.7,25.9,81.7,41.5
Shares_Diluted,35.778,28.881,31.615,27.613,24.421,22.454,24.648,24.648,24.648,23.0581,23.564,23.0581,,,
Total_Assets,1161.3,1138.3,1148.1,1154.7,317.8,307.2,362.8,355.0,331.2,322.0,346.6,266.6,,,
Total_Liabilities,710.5,700.9,796.6,812.7,97.3,92.8,154.9,150.2,140.2,135.4,159.7,165.2,,,
