AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,482.0,585.1,653.3,709.8,713.6,690.5,630.7,640.8,591.5,632.1,556.1,561.9,461.7,279.0
Current_Liabilities,194.9,189.2,182.5,243.4,428.4,225.3,269.4,273.4,215.9,237.1,162.8,173.0,90.4,97.9
Diluted_EPS,-16.377,-105.292,-8.199,-11.611,4.249,1.579,-11.908,10.942,0.168,0.115,0.043,0.136,0.126,0.099
Goodwill_Intangibles,0.0,0.1,0.1,0.1,4.1,4.7,4.8,4.8,7.7,8.2,8.2,5.1,,
Inventory,358.9,424.5,465.9,466.3,427.7,417.2,404.4,379.9,348.4,339.9,310.8,265.4,223.8,201.4
LT_Debt,207.1,191.1,162.7,159.9,0.0,171.8,171.3,172.2,177.7,181.9,177.7,178.4,173.6,21.9
Revenue,165.0,227.6,216.2,330.9,194.7,185.1,142.5,285.8,281.1,268.5,184.3,277.7,237.2,178.2
Shares_Diluted,7.0653,0.7065,0.7065,0.7084,0.7256,0.5503,0.5024,0.531,52.4734,52.174,52.1919,52.8846,52.4734,52.7746
Total_Assets,530.4,633.7,701.0,757.2,775.0,753.4,695.2,708.3,652.6,696.8,594.7,587.5,481.6,318.3
Total_Liabilities,402.7,381.3,376.3,428.5,444.9,429.9,473.1,478.0,424.6,454.5,358.6,358.0,265.8,121.4
