AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,417.6,438.8,418.7,445.6,413.8,412.9,365.7,369.9,309.3,259.9,229.8,,,,,,,
Current_Liabilities,147.0,161.9,146.7,174.3,138.9,146.0,119.8,134.0,84.8,143.2,123.9,,,,,,,
Diluted_EPS,-0.064,-0.006,-0.047,0.021,-0.054,0.025,-0.093,-0.1,-0.6,0.223,0.112,0.128,-0.0819999999999999,0.083,-0.06,0.026,-0.028,0.038
Goodwill_Intangibles,167.3,166.9,167.0,167.1,167.2,167.3,167.4,167.6,153.9,154.0,154.1,,,,,,,
Inventory,350.9,331.6,282.3,247.8,243.5,263.1,285.3,266.0,231.3,230.7,201.3,,,,,,,
LT_Debt,54.7,43.1,42.4,18.1,18.3,17.3,18.7,9.5,10.0,184.9,196.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,214.2,204.7,189.4,188.2,182.5,202.0,169.9,174.9,163.9,157.7,125.7,118.6,116.9,134.9,117.6,120.1,120.9,120.6
Shares_Diluted,86.6,86.6,86.5,86.3,86.4,88.0,84.5252,86.2739,82.7851,70.1907,85.7833,,,,,,,
Total_Assets,696.3,697.4,666.1,662.0,613.5,612.2,566.7,562.0,487.2,439.6,411.2,,,,,,,
Total_Liabilities,212.5,215.6,196.3,197.2,163.5,169.2,142.8,146.7,111.1,349.7,337.0,,,,,,,
