AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2243.7,1913.3,1949.7,1752.1,1994.6,1843.6,1726.2,1650.8,1857.4,1499.7,1289.8,1194.1,1339.9,1135.0,1188.5,1095.4,1206.6,1078.5
Current_Liabilities,815.3,728.6,799.8,541.7,727.9,683.0,600.5,468.4,571.9,503.8,395.0,300.9,463.2,465.8,441.7,250.5,394.4,448.2
Diluted_EPS,10.482,3.805,1.664,2.508,8.421,3.659,1.715,1.174,8.995,3.584,-0.285,0.569,7.136,2.7110000000000003,-0.665,0.815,6.68,2.477
Goodwill_Intangibles,52.0,52.5,53.1,53.7,54.2,54.8,55.4,55.9,60.1,60.8,61.4,62.0,62.6,63.3,64.1,65.5,66.9,68.3
Inventory,723.4,925.0,839.5,506.8,550.7,636.3,457.7,278.2,305.3,484.1,435.0,311.6,365.9,558.9,473.4,278.8,342.0,514.9
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,29.9,30.1,30.3,30.4,30.6,30.7,30.9,31.1,31.2
Revenue,1345.6,875.6,614.5,736.0,1187.8,721.9,504.7,561.2,1077.8,623.5,283.2,374.9,938.7,542.2,276.8,394.1,873.8,501.9
Shares_Diluted,26.586,26.682,26.948,27.444,27.663,27.896,28.062,28.499,28.41,28.335,28.001,28.28,28.249,28.705,29.089,29.423,29.397,30.028
Total_Assets,2809.3,2466.3,2513.3,2332.3,2547.6,2410.4,2291.3,2167.7,2387.9,2050.3,1848.6,1765.1,1888.4,1691.7,1751.1,1427.2,1542.5,1424.0
Total_Liabilities,1040.1,950.5,1040.8,793.4,982.8,946.7,872.3,723.5,867.7,807.4,711.6,625.0,764.6,775.4,755.8,382.1,524.6,577.2
