AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,15.9,15.0,15.5,16.1,15.4,14.5,9.6,9.9,9.4,9.8,9.6,8.2,8.8,9.5,8.9,9.2,12.4,10.3
Current_Liabilities,8.6,11.7,12.9,13.3,12.3,10.5,4.1,4.7,5.2,2.8,3.2,2.7,3.4,3.3,2.3,2.9,7.0,5.0
Diluted_EPS,0.015,0.043,-0.058,-0.069,-0.106,-0.028,0.177,0.028,-0.002,0.009,-0.004,0.002,-0.011,-0.01,0.0069999999999999,0.018,0.0069999999999999,0.006
Goodwill_Intangibles,,,,,0.9,1.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,2.3,2.5,2.9,2.2,1.7,1.7,1.0,1.3,1.2,1.1,1.3,1.2,1.5,1.9,1.2,1.2,2.0,2.1
LT_Debt,4.9,2.9,3.0,3.1,3.2,3.3,0.0,1.3,0.7,3.6,3.2,2.5,2.5,3.0,3.2,3.4,3.6,3.8
Revenue,8.3,8.5,7.1,7.6,6.5,4.8,3.4,4.0,3.6,4.7,3.3,4.9,3.7,3.1,4.3,4.7,4.3,3.6
Shares_Diluted,9.0337,8.9982,8.5769,8.593,8.5716,7.84,7.7635,7.7693,29.4987,30.9872,29.3599,29.2721,29.2546,29.2546,30.711,30.6992,30.4272,30.1505
Total_Assets,37.4,36.8,37.6,37.9,37.4,36.7,15.5,16.0,15.6,16.1,15.9,14.6,15.3,16.0,15.5,16.0,19.8,17.7
Total_Liabilities,21.8,21.3,22.8,22.6,21.6,20.0,4.1,6.1,5.9,6.3,6.5,5.1,5.9,6.3,5.5,6.3,10.6,8.8
