AAII_QTR_DATA,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020
Current_Assets,6.9,18.8,9.2,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,23.0,36.1,17.9,3.1,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Diluted_EPS,0.0,-0.048,-0.026,-0.022,0.001,0.002,-0.056,-0.027,-0.027,-0.027,-0.037,-0.026
Goodwill_Intangibles,35.8,36.2,27.6,11.5,,0.3,,,,,,
Inventory,,,4.1,,,,,,0.0,0.0,0.0,0.0
LT_Debt,3.1,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,9.6,10.3,2.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,150.4005,150.7896,144.8995,41.9404,10.2506,4.4264,0.2506,0.2506,,,,
Total_Assets,43.0,55.4,37.0,21.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,26.1,39.2,23.9,3.1,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
