AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,12/31/2020,09/30/2020
Current_Assets,735.8,488.8,251.7,201.8,,
Current_Liabilities,452.1,417.8,246.7,154.9,,
Diluted_EPS,0.046,0.0,0.043,-0.346,-0.228,-0.61
Goodwill_Intangibles,110.6,28.7,27.8,25.6,,
Inventory,192.4,139.1,73.9,72.3,,
LT_Debt,428.0,578.0,269.8,294.5,0.0,0.0
Revenue,589.8,345.0,248.0,520.3,135.2,412.5
Shares_Diluted,142.3702,142.3702,140.1421,140.1421,,
Total_Assets,1663.6,1313.9,664.6,578.9,,
Total_Liabilities,3073.0,1068.9,517.5,450.5,,
