AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,133.1,137.5,122.3,122.4,119.2,108.6,109.4,101.2,104.1,104.2,114.9,113.1,120.0,116.3,114.3,110.9,113.2
Current_Liabilities,41.2,59.0,51.8,56.3,51.7,33.6,30.7,29.6,27.8,24.6,30.6,30.3,32.7,27.9,26.2,24.7,26.2
Diluted_EPS,0.661,0.572,0.337,0.437,0.609,0.408,0.529,0.566,-3.512,0.087,0.18,0.111,0.212,0.3,0.273,0.08199999999999999,0.118
Goodwill_Intangibles,5.7,5.7,5.8,5.9,5.9,6.0,5.9,6.0,6.0,12.7,12.8,13.0,13.1,13.3,13.5,13.8,
Inventory,66.9,73.1,63.9,61.2,60.6,52.5,51.0,50.1,53.0,58.3,65.1,64.5,61.8,63.2,60.7,58.0,58.0
LT_Debt,24.9,9.4,9.2,5.5,6.0,18.5,20.3,21.2,26.3,25.6,18.6,19.1,17.5,18.0,17.4,16.9,17.3
Revenue,70.4,60.5,61.3,61.5,61.2,54.9,54.1,49.4,42.5,50.0,56.9,52.1,61.1,58.5,56.5,51.9,57.6
Shares_Diluted,7.308,7.492,7.492,7.396,7.463,7.39,7.294,7.277,6.973,7.022,7.015,7.006,6.981,6.959,7.067,7.0829999999999975,7.02
Total_Assets,199.6,205.9,188.3,189.6,184.5,177.3,180.0,172.4,172.7,178.7,191.4,188.9,190.1,184.0,181.1,178.4,182.3
Total_Liabilities,97.1,109.6,103.1,106.3,101.0,119.9,122.0,122.2,126.7,103.2,106.8,108.3,106.7,92.8,92.3,91.4,94.4
