AAII_QTR_DATA,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
Current_Assets,12.3,0.4,2.5,6.7,6.4,6.4,5.6,14.7,17.3,22.6
Current_Liabilities,3.2,2.6,2.4,1.9,4.8,7.1,10.0,10.5,11.4,12.2
Diluted_EPS,-0.795,-0.615,-2.417,-1.758,-2.554,-3.017,-10.672,-6.443,-21.199,-29.275
Goodwill_Intangibles,9.7,7.9,7.2,5.5,3.7,1.8,1.8,1.7,1.8,1.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.6,0.1,0.0,0.0,0.0,0.0,0.0,4.7,6.1,7.2
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,,4.5851,2.9091,2.1733,1.532,1.0472,0.3059,0.2871,0.2358,0.2216
Total_Assets,22.0,8.4,9.8,12.4,10.5,8.5,7.9,16.7,19.4,24.7
Total_Liabilities,4.3,3.7,3.4,2.9,6.6,9.3,11.7,18.2,21.8,25.3
