AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,0.7,0.5,1.0,0.5,0.4,0.3,0.3,1.3,1.2,0.9,0.5,0.2,0.2,0.3,0.4,0.6,2.4,0.4,0.3,0.5,0.3
Current_Liabilities,14.1,13.3,14.0,14.0,13.7,13.5,15.7,14.5,13.9,13.9,28.8,18.3,28.4,18.6,14.2,15.0,19.2,13.7,12.4,10.6,7.9
Diluted_EPS,,0.0,0.0,0.0,0.0,0.001,0.0,-0.001,-0.001,0.004,-0.008,0.001,-0.0069999999999999,-0.068,-0.002,-0.013,-0.025,-0.066,-0.019,-0.024,-0.01
Goodwill_Intangibles,1.2,1.3,1.3,1.4,1.5,1.6,1.7,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.6,0.7,0.6,0.7,0.7,0.7,0.7,4.6,4.6,4.6,4.4,4.4,4.3,4.7,4.6,3.9,3.9,6.7,7.0,6.9,7.0
Revenue,1.3,1.2,1.4,1.1,1.0,0.9,0.9,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.1,0.4,0.3,0.1,0.1
Shares_Diluted,3729.054,4373.072,4276.544,3729.054,3630.721,3381.549,3996.021,2397.375,2334.305,3687.099,1498.132,6674.93,1508.8829999999996,145.2979,143.6361,131.1594,124.358,123.8521,124.0892,123.9762,123.2429
Total_Assets,6.6,6.6,6.7,6.5,6.6,6.6,6.7,4.2,4.1,3.8,3.3,3.0,2.9,3.2,23.5,24.0,28.3,12.7,12.6,12.8,11.9
Total_Liabilities,16.9,16.3,17.0,17.1,16.8,16.8,19.1,19.8,19.2,19.1,33.9,23.4,32.6,23.2,33.4,33.7,38.2,20.4,19.4,17.5,14.9
