AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,107.5,109.1,106.8,108.2,112.5,112.9,107.8,103.3,108.7,110.9,122.6,114.5,106.4,106.9,111.6,107.8,115.4,110.8
Current_Liabilities,72.6,73.0,72.6,70.6,75.5,77.2,75.1,72.9,76.2,77.8,78.5,78.8,86.4,88.9,91.7,87.9,81.0,75.1
Diluted_EPS,0.05,0.087,0.075,0.045,0.06,0.074,0.06,0.019,0.029,0.065,0.034,0.016,0.018,0.024,0.012,0.013,0.036,0.057
Goodwill_Intangibles,121.3,121.3,121.3,121.3,121.4,121.4,121.4,121.5,121.6,121.7,122.0,122.4,123.0,123.7,124.4,125.3,126.2,127.1
Inventory,8.6,9.5,9.9,9.7,8.8,9.1,9.3,9.8,9.5,10.5,11.9,12.8,13.9,15.4,16.5,16.3,16.8,18.3
LT_Debt,54.9,57.2,60.0,61.8,64.4,66.1,68.1,71.8,79.7,87.4,105.9,104.4,89.1,88.4,94.1,99.0,105.1,110.9
Revenue,68.8,73.1,74.6,69.5,69.2,72.4,68.8,61.7,64.3,72.4,64.3,88.4,92.3,94.1,98.9,97.1,98.4,100.5
Shares_Diluted,42.878,42.956,43.49,43.739,43.041,42.724,42.597,42.634,42.649,42.918,42.767,43.81100000000001,44.69300000000001,44.992,45.298,45.355,45.221,45.188
Total_Assets,307.3,310.1,311.7,315.3,324.0,330.7,330.3,332.3,345.4,352.7,370.4,368.7,363.2,364.2,372.5,374.9,339.7,335.4
Total_Liabilities,153.0,156.6,159.4,162.5,171.6,179.2,180.9,184.4,197.8,206.1,227.3,227.8,219.8,221.3,231.1,234.0,199.4,197.5
