AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016
Current_Assets,1138.7,1171.1,1026.5,1013.4,707.8,644.2,691.7,812.9,845.5,965.6,913.2,950.2,824.5
Current_Liabilities,552.4,677.6,548.9,562.2,395.3,354.0,409.8,435.3,425.5,552.3,444.6,459.4,400.4
Diluted_EPS,0.338,1.136,0.82,0.569,0.173,-0.571,-0.297,0.245,0.252,0.375,0.318,0.474,0.292
Goodwill_Intangibles,87.8,88.0,65.4,61.5,61.2,39.7,71.4,128.1,135.3,138.1,112.9,122.6,120.2
Inventory,399.6,504.8,453.9,422.6,224.9,220.9,215.0,292.6,358.0,394.2,373.4,311.7,281.7
LT_Debt,460.1,414.4,250.1,322.9,253.6,270.9,193.4,23.3,41.9,27.4,1.6,2.6,3.3
Revenue,2539.0,3308.3,2821.9,2292.4,1624.0,1456.3,1793.7,2188.2,2265.6,2416.9,2115.0,2089.9,1739.1
Shares_Diluted,197.405,201.44,204.076,205.007,201.887,201.552,202.726,204.916,206.234,207.852,204.394,201.657,199.095
Total_Assets,2876.4,2934.1,2522.9,2476.9,2080.6,2118.9,2208.8,2105.2,2122.9,2226.2,2000.4,2123.1,1933.1
Total_Liabilities,1183.1,1257.0,997.6,1076.4,808.3,808.8,776.8,586.0,591.4,704.4,560.6,600.2,554.4
