AAII_QTR_DATA,03/31/2023,12/30/2022,09/30/2022,07/01/2022,04/01/2022,12/31/2021,10/01/2021,07/02/2021,04/02/2021,01/01/2021,10/02/2020,07/03/2020,04/03/2020,12/27/2019,09/27/2019,06/28/2019,03/29/2019,12/28/2018,09/28/2018
Current_Assets,236.5,223.5,197.0,206.4,196.6,195.0,183.7,170.2,164.3,156.4,138.0,140.0,137.4,130.3,126.0,126.0,126.1,127.1,125.3
Current_Liabilities,133.2,124.5,110.9,104.5,105.7,107.1,103.2,96.4,93.7,91.8,84.1,94.0,96.0,93.6,88.3,82.2,85.4,83.9,83.2
Diluted_EPS,0.411,0.512,-0.245,0.386,0.513,0.495,0.392,0.233,8.0,0.582,0.535,0.1,0.067,-0.154,0.005,0.345,0.778,0.411,-0.14
Goodwill_Intangibles,11.9,12.0,12.1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,40.9,37.1,35.0,27.2,30.5,27.4,25.5,24.9,23.1,18.8,15.7,15.2,15.5,14.5,12.2,9.5,11.3,9.7,10.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,83.5,90.7,81.3,77.4,74.5,77.9,73.2,71.7,66.4,70.5,66.3,62.7,61.4,56.0,58.6,64.2,54.0,65.1,60.5
Shares_Diluted,11.884,11.805,11.2,11.736,11.761,11.96,11.954,12.156,11.842,11.42,11.092,11.404,10.914,10.854,11.06,11.14,5.577000000000001,5.627000000000002,5.3660000000000005
Total_Assets,364.7,349.3,326.7,323.9,319.7,317.1,308.9,297.7,290.6,193.4,176.8,179.8,179.8,179.8,176.3,169.2,167.2,161.2,159.2
Total_Liabilities,149.3,140.8,127.3,122.2,122.4,124.2,121.0,114.3,110.9,108.8,100.9,111.1,112.8,111.4,106.4,97.7,99.6,97.9,96.9
