AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,284.6,294.6,282.2,295.8,312.2,328.0,353.5,314.3,,,,,,
Current_Liabilities,111.0,129.6,111.5,119.9,128.7,118.1,134.4,94.3,,,,,,
Diluted_EPS,-0.093,-0.175,-0.207,-0.28,-0.299,-0.404,-0.818,,,-0.04,-0.385,-0.118,0.026,
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,64.4,68.8,70.6,70.8,64.3,57.1,51.4,46.2,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,172.0,146.5,148.8,149.6,153.2,132.9,137.4,131.6,139.0,112.8,104.1,67.1,109.7,93.6
Shares_Diluted,116.1594,115.7224,115.2494,114.6799,114.1038,113.6208,111.3924,,,,,,,
Total_Assets,557.9,568.7,550.2,543.6,544.7,440.6,459.6,411.6,,,,,,
Total_Liabilities,261.5,282.1,266.2,261.5,263.8,154.6,168.0,126.0,,,,,,
