AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,8.8,9.4,8.7,10.6,13.8,14.8,14.7,16.3,7.5,8.1,9.3,8.9
Current_Liabilities,8.0,8.4,6.2,5.9,5.5,3.2,2.4,1.5,3.1,1.7,1.3,1.2
Diluted_EPS,-0.166,-0.327,-0.294,-0.146,-0.118,-0.222,-0.12,-0.799,-5.147,-0.31,-0.062,-0.0279999999999999
Goodwill_Intangibles,4.5,4.6,4.8,4.8,4.9,2.8,2.9,2.9,2.9,2.9,3.0,2.9
Inventory,0.6,0.5,1.6,1.7,1.6,1.5,1.2,0.6,,0.0,0.0,0.0
LT_Debt,1.1,1.3,1.7,1.0,0.7,0.9,1.1,1.1,0.8,0.9,0.4,0.3
Revenue,6.2,5.1,3.6,1.9,1.9,0.7,0.4,1.9,0.7,0.4,0.4,0.3
Shares_Diluted,31.302,29.265,27.3592,27.2615,26.8356,24.3859,23.8471,7.6281,7.5737,18.5463,16.3593,16.1771
Total_Assets,16.2,17.1,15.4,17.1,21.1,19.1,18.9,20.5,11.4,11.6,12.8,12.3
Total_Liabilities,9.3,10.0,6.0,5.3,5.1,3.5,4.1,3.9,6.7,14.9,2.9,2.5
