AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,46.8,43.2,44.6,42.6,41.2,43.3,42.9,42.6,44.7,37.7,40.1,39.2,33.4,33.8,39.0,41.0,41.4,44.2,122.7,124.3,120.7,120.4
Current_Liabilities,33.1,30.3,30.9,30.9,29.7,31.1,29.8,34.7,36.4,30.0,27.6,26.5,22.4,22.3,21.3,22.8,23.9,22.9,42.1,43.7,41.0,42.2
Diluted_EPS,0.079,0.548,0.151,0.041,-0.003,-0.037,0.44,0.051,0.102,-0.089,0.069,-0.115,-0.284,-0.311,-0.106,-0.075,-0.08,-0.179,-0.282,-0.211,0.141,0.2319999999999999
Goodwill_Intangibles,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,,,,0.0,,,0.0,0.0
Inventory,2.3,2.5,3.1,3.6,3.7,4.0,5.0,5.3,5.5,6.4,8.7,7.7,6.9,4.9,10.1,11.8,10.7,9.4,,,,
LT_Debt,19.1,19.9,21.1,21.3,21.9,22.8,23.7,24.3,25.8,26.9,28.6,29.8,27.9,28.5,29.1,28.7,27.3,27.9,5.7,6.2,6.5,7.0
Revenue,22.0,24.1,20.2,18.9,20.1,26.4,23.9,22.3,30.8,25.4,25.6,19.7,16.9,22.7,22.7,20.1,22.0,22.4,15.8,17.2,18.2,23.8
Shares_Diluted,12.5203,12.4707,12.3493,12.5341,12.3631,12.3138,12.3206,12.256,12.0849,11.9497,11.8945,11.8554,11.837,11.8425,11.8389,11.8177,11.7363,9.4809,8.953,8.9383,8.9404,8.8631
Total_Assets,62.3,59.4,54.6,53.1,52.2,55.0,49.7,50.1,52.9,46.5,47.7,47.4,42.3,43.4,47.0,49.7,50.5,47.4,126.4,127.8,124.0,124.2
Total_Liabilities,56.8,55.3,57.4,57.8,57.6,60.3,54.6,60.6,64.3,59.5,57.3,58.0,52.5,53.4,53.4,55.0,55.1,51.4,48.3,50.5,48.1,49.9
