AAII_QTR_DATA,03/31/2023,12/31/2022
Current_Assets,740.9,648.6
Current_Liabilities,258.8,330.8
Diluted_EPS,0.246,0.101
Goodwill_Intangibles,879.8,859.4
Inventory,174.0,132.9
LT_Debt,234.9,345.3
Revenue,181.1,186.6
Shares_Diluted,221.3946,215.0238
Total_Assets,1906.2,1792.0
Total_Liabilities,587.2,758.0
