AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,137.4,139.2,56.5,35.6,,,
Current_Liabilities,153.6,155.0,43.6,25.9,,,
Diluted_EPS,,0.001,0.001,0.001,0.001,0.0,0.0
Goodwill_Intangibles,61.7,60.3,,,,,
Inventory,47.3,,,,,,
LT_Debt,10.4,10.6,10.4,8.0,0.0,0.0,0.0
Revenue,19.8,35.2,20.4,19.7,4.8,3.1,2.9
Shares_Diluted,,1325.231,1325.231,1325.231,,,
Total_Assets,251.0,251.4,77.3,55.3,,,
Total_Liabilities,219.5,219.7,54.7,34.6,,,
