AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,337.8,340.2,387.9,405.1,466.5,541.0,254.4,253.3,188.9,183.7,176.3,307.2,409.1,418.3,352.2,242.2,240.9,238.1,273.5,91.6
Current_Liabilities,65.5,64.3,69.1,55.8,64.2,70.8,77.7,78.8,57.5,45.3,43.9,54.3,147.9,128.6,82.3,48.7,40.5,34.0,34.6,35.0
Diluted_EPS,0.171,0.215,0.082,-0.051,-0.081,-0.976,0.202,0.383,0.006,0.246,1.31,0.144,-0.175,0.182,0.249,0.031,0.04,0.107,0.088,0.067
Goodwill_Intangibles,529.0,529.4,532.2,532.7,532.9,534.0,540.8,543.7,545.2,536.9,539.5,539.0,537.7,532.4,533.9,535.1,536.1,537.0,538.0,538.7
Inventory,,,,,,,0.0,0.0,0.0,0.0,0.2,0.2,7.3,7.8,1.9,,,,,
LT_Debt,4.5,4.7,0.6,0.8,1.3,2.1,2.2,2.7,4.5,3.6,3.9,4.5,9.7,9.2,9.8,10.1,12.0,2.3,2.7,3.2
Revenue,87.2,96.4,85.4,77.9,71.8,72.9,66.7,60.3,51.6,56.2,42.0,38.2,40.2,48.8,47.8,61.7,49.8,48.3,44.7,39.8
Shares_Diluted,90.64,97.1102,113.97,114.75,115.815,115.1533,116.13,115.755,116.345,116.1829,117.81,119.02,119.145,120.8863,112.945,110.2882,110.2882,106.7844,110.1795,110.1795
Total_Assets,911.6,964.7,1072.3,1053.8,1074.3,1092.5,1212.5,1190.0,1126.5,1109.6,1088.7,963.6,1054.8,1060.6,984.0,852.3,842.8,825.3,829.6,651.5
Total_Liabilities,78.1,76.5,78.7,64.5,71.8,79.4,90.5,93.8,73.4,60.7,60.9,72.7,170.6,148.4,105.9,72.7,67.0,49.8,52.6,52.9
