AAII_QTR_DATA,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016
Current_Assets,3.4,3.3,5.0,5.4,7.0,8.7,15.6,11.0,9.2,,
Current_Liabilities,3.5,3.7,4.4,3.1,5.1,1.4,1.2,2.1,8.0,,
Diluted_EPS,-0.275,-0.199,-0.213,-0.093,-0.259,-0.208,-0.039,0.108,-0.068,-0.006999999999999999,0.087
Goodwill_Intangibles,2.2,2.7,2.7,2.8,2.8,0.0,0.0,0.3,0.3,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.7,1.2,0.1,1.2,1.2,1.5,1.2,0.0,0.0
Revenue,1.0,1.4,0.6,1.6,0.6,1.3,1.9,3.4,0.8,1.3,5.4
Shares_Diluted,12.2408,11.5076,11.5076,11.5076,11.5076,9.586,12.0,12.0,12.0,,12.0
Total_Assets,7.6,8.4,10.7,12.0,14.5,14.4,16.5,13.2,11.4,,
Total_Liabilities,4.6,4.5,4.4,3.5,4.9,1.9,2.0,3.3,4.2,,
