AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,122.0,120.7,119.1,118.7,114.3,111.6,109.4,108.6,103.6,101.6,99.1,95.9,91.4,90.0,87.0,85.1,78.8,73.6,70.6,67.1
Current_Liabilities,13.9,13.7,14.9,16.7,14.2,13.7,16.2,20.0,17.1,16.9,18.6,18.7,14.9,14.9,13.9,14.1,11.3,11.6,11.8,14.6
Diluted_EPS,0.519,0.298,0.273,0.298,0.305,0.535,0.517,0.096,0.514,0.419,0.338,0.078,0.17,0.419,0.446,0.626,0.528,0.485,0.4539999999999999,1.357
Goodwill_Intangibles,7.8,7.8,7.9,8.0,8.0,8.1,8.2,8.3,8.4,8.0,8.0,8.1,8.1,8.3,8.5,8.7,8.9,9.1,9.4,9.6
Inventory,2.7,2.6,2.5,2.4,2.4,2.1,1.8,1.7,2.2,2.0,1.9,1.8,1.9,1.9,2.1,2.3,2.1,1.7,1.7,1.5
LT_Debt,0.8,0.8,0.9,1.0,1.1,1.1,1.2,1.8,1.9,1.9,2.1,2.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Revenue,25.4,24.3,23.2,24.8,24.6,24.5,23.7,24.7,23.1,21.2,21.0,20.8,21.7,21.5,21.7,22.5,22.8,21.2,20.7,21.0
Shares_Diluted,6.992,7.038,7.056,7.0619,7.065,7.065,7.065,7.0612,7.065,6.976,6.958,6.9559,6.957999999999998,6.957999999999998,6.943,6.8645,6.867999999999999,6.867999999999999,6.855,6.7961
Total_Assets,199.3,197.5,198.0,199.3,195.6,193.7,188.2,189.5,185.3,182.1,181.3,180.3,171.2,171.7,166.9,133.6,126.6,122.9,120.2,118.3
Total_Liabilities,42.2,43.4,45.8,49.1,47.6,48.0,45.9,51.1,47.6,48.3,52.6,54.1,45.6,47.3,45.6,17.6,15.2,15.4,16.3,19.6
