AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,42.2,46.2,36.1,47.2,39.0,11.8,12.2,9.5,,
Current_Liabilities,3.8,5.0,3.6,6.9,7.5,1.1,1.6,1.7,,
Diluted_EPS,-0.113,0.267,0.066,0.493,0.083,0.018,0.449,0.31,0.13,-0.002
Goodwill_Intangibles,0.8,1.0,1.1,0.5,0.6,0.7,0.7,0.8,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.8,17.0,13.1,24.5,15.0,2.5,13.4,7.9,5.4,0.0
Shares_Diluted,21.1081,21.0528,20.5238,20.4447,20.255,20.255,20.255,20.255,,
Total_Assets,53.4,57.7,50.8,50.5,41.1,14.4,14.7,12.0,,
Total_Liabilities,3.8,5.0,3.6,6.9,7.5,1.1,1.6,1.7,,
