AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,253.2,257.9,247.6,244.4,232.8,221.4,214.5,206.8,229.7,219.6,213.2,217.9,226.4,234.6,240.6,239.8,240.4,220.6
Current_Liabilities,109.8,121.0,112.7,81.0,74.9,67.7,53.4,52.8,53.9,56.2,55.7,60.6,60.5,68.7,69.9,73.3,71.9,60.9
Diluted_EPS,0.249,0.325,0.195,0.258,0.335,0.014,-0.01,-0.032,0.185,0.055,-0.184,-0.09,0.196,0.208,0.045,0.204,0.293,0.097
Goodwill_Intangibles,317.4,315.5,330.0,307.7,307.8,309.7,317.7,316.8,318.0,310.2,307.2,302.5,323.7,323.7,331.6,331.6,332.8,348.5
Inventory,91.4,95.0,86.2,71.7,69.6,65.6,64.4,63.8,74.2,71.3,70.0,60.3,63.8,65.8,69.7,64.9,69.1,74.3
LT_Debt,97.6,104.7,112.6,120.4,125.1,133.8,142.6,143.0,163.4,168.7,169.1,169.6,171.7,187.5,197.6,197.7,210.7,211.0
Revenue,122.1,100.6,95.4,102.6,100.6,81.3,71.2,73.3,79.6,66.4,56.8,88.4,100.5,102.9,91.7,114.2,119.4,90.2
Shares_Diluted,33.8797,33.7735,33.5673,33.6124,33.6581,33.5928,33.2987,33.2057,33.4196,33.4177,32.9865,32.8924,33.2589,33.2444,33.0519,33.2162,33.1165,33.1028
Total_Assets,650.1,654.3,661.9,636.7,626.5,618.9,624.8,617.9,642.4,627.1,619.9,620.9,646.7,655.7,671.2,655.8,653.8,650.3
Total_Liabilities,238.6,258.5,260.7,237.5,237.9,241.4,239.9,239.0,262.8,268.5,269.5,274.5,277.7,301.4,320.6,311.0,321.1,319.1
