AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,06/30/2019
Current_Assets,249.2,265.6,258.2,297.9,344.5,382.4,424.7,461.3,487.1,349.1,379.8,11.9,,
Current_Liabilities,21.6,28.1,23.3,25.6,23.2,28.7,23.4,14.6,13.5,11.0,4.7,4.1,,
Diluted_EPS,-0.784,-0.735,-0.799,-1.012,-0.69,-1.005,-0.83,-0.585,-0.505,-0.578,-0.319,-0.387,-0.341,-0.0819999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,56.3259,52.8267,51.7954,51.6795,51.6014,51.5502,51.3209,51.2163,49.4725,49.5506,43.5852,43.5852,,
Total_Assets,288.6,306.3,299.7,340.0,387.8,425.7,466.9,467.1,491.7,353.3,381.5,13.6,,
Total_Liabilities,46.7,54.0,49.9,53.0,51.3,57.5,52.8,14.6,13.5,11.0,14.6,14.3,,
