AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1813.5,1689.7,1639.0,1756.6,2003.2,1723.8,1919.7,1830.9,1844.0,1839.9,1926.2,2099.7,2145.2
Current_Liabilities,1310.6,1187.0,1257.9,1290.2,1337.0,1158.2,1266.6,1338.1,1320.4,1251.7,1205.8,1550.9,1510.1
Diluted_EPS,0.382,-0.128,-0.018,2.436,-0.123,-0.792,-0.182,-1.264,0.17600000000000002,-0.222,-0.124,-0.32,0.485
Goodwill_Intangibles,461.3,467.6,471.4,479.4,481.3,521.6,525.8,493.3,660.5,654.1,659.3,666.7,674.5
Inventory,379.9,348.7,300.8,302.1,323.7,307.7,300.7,301.8,338.7,335.5,326.1,329.7,361.8
LT_Debt,1433.6,1462.6,1362.7,1442.0,1876.9,1880.3,1960.3,1747.2,1928.5,2019.7,2133.7,1875.3,1955.3
Revenue,1267.8,1145.6,1173.1,1348.6,1191.3,1009.6,1216.9,1429.2,1417.2,2626.8,1521.9,1763.4,1649.5
Shares_Diluted,74.1,73.3,72.7,72.9,72.4,72.2,71.6,71.2,71.4,71.3,70.8,70.9,70.7
Total_Assets,3093.4,3000.9,2980.4,3130.9,3427.9,3203.5,3437.5,3330.1,3540.5,3561.4,3667.4,3640.8,3698.0
Total_Liabilities,3330.3,3258.2,3248.0,3388.6,3895.9,3682.0,3866.7,3713.8,3831.3,3846.2,3931.9,3900.9,3931.9
