AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,132.6,120.9,115.5,105.6,88.8,75.4,71.6,65.2,71.4,67.0,65.5,64.7,61.7,64.3,64.8,67.9,68.9,68.1,51.0,36.4
Current_Liabilities,81.3,75.3,73.8,74.8,56.4,51.6,44.8,49.5,55.0,51.3,49.1,42.5,34.8,33.2,28.6,30.7,32.4,33.4,31.7,29.1
Diluted_EPS,0.186,0.154,0.199,0.106,0.003,0.181,0.143,0.488,0.045,0.033,0.039,-0.004,-0.001,0.064,0.044,0.093,0.036,0.159,0.063,0.06
Goodwill_Intangibles,97.8,98.1,97.4,97.3,89.8,86.6,87.1,87.6,87.9,88.4,78.0,78.4,78.8,77.3,77.7,76.9,77.3,68.1,63.1,
Inventory,62.9,60.1,54.2,49.4,40.8,33.1,29.1,25.1,26.7,25.2,24.7,24.1,27.1,29.4,29.0,26.4,27.8,23.3,20.5,15.4
LT_Debt,38.9,36.9,35.8,27.8,23.9,14.9,19.9,11.9,20.1,20.8,19.3,25.0,29.8,34.8,40.6,40.6,41.6,37.5,20.2,8.8
Revenue,94.1,82.6,83.4,82.8,60.0,124.4,63.7,64.5,62.4,57.2,57.9,54.4,59.0,122.3,55.7,64.9,59.3,104.1,43.4,44.0
Shares_Diluted,12.95,12.654,12.526,12.65,12.663,12.6795,12.7405,12.677,12.785,12.574,12.279,11.919,11.872,12.03,12.216,12.208,12.145,12.0525,11.774,11.673
Total_Assets,259.4,246.7,241.0,230.8,205.2,186.8,183.6,177.9,184.1,180.1,164.0,160.7,158.4,158.4,158.9,154.5,155.2,144.5,121.1,95.5
Total_Liabilities,131.2,122.0,119.8,113.1,90.2,76.3,74.3,71.1,84.6,81.9,75.1,72.9,71.0,74.1,75.1,73.0,75.0,71.9,52.5,38.4
