AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,06/30/2019,03/31/2019
Current_Assets,118.9,138.7,142.8,138.0,144.1,138.7,134.4,143.5,127.7,130.6,54.0,,,,
Current_Liabilities,82.1,96.2,101.4,92.7,94.1,77.2,72.5,73.7,62.2,73.7,65.1,,,,
Diluted_EPS,-0.299,0.057,-0.067,-0.176,-0.283,0.005,-0.19,0.01,-0.317,0.012,-0.008,-0.008,-0.109,0.0,-0.017
Goodwill_Intangibles,3.2,3.3,3.7,4.1,4.5,4.8,5.3,3.9,4.1,4.6,5.1,,,,
Inventory,23.8,34.5,43.4,40.9,38.6,35.1,30.7,26.2,17.2,17.6,16.2,,,,
LT_Debt,7.2,8.8,7.4,8.5,9.3,10.7,11.1,11.0,9.2,9.5,10.2,0.0,0.0,0.0,0.0
Revenue,59.1,67.7,51.8,56.7,49.9,53.2,47.1,44.5,43.9,43.4,64.5,26.9,143.6,39.5,39.0
Shares_Diluted,22.6535,22.6535,22.6535,22.6535,22.6535,22.6535,22.6535,22.6535,16.9916,112.8289,112.8289,,,,
Total_Assets,146.8,167.6,172.4,167.9,174.1,166.9,163.0,168.3,149.0,151.1,76.2,,,,
Total_Liabilities,89.7,105.5,109.7,101.9,104.1,88.7,84.2,85.1,71.8,83.6,76.5,,,,
