AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,745.2,1095.2,788.2,281.0,,
Current_Liabilities,424.8,486.6,345.8,265.6,,
Diluted_EPS,-22.939,-7.942,-20.195,-3.194,-3.212,-0.962
Goodwill_Intangibles,20.3,242.4,324.5,192.4,,
Inventory,288.6,464.7,452.4,158.0,,
LT_Debt,546.9,644.9,173.4,60.2,0.0,0.0
Revenue,1549.5,779.2,813.4,308.0,201.3,49.5
Shares_Diluted,38.0808,37.7278,33.3987,39.6704,,
Total_Assets,1073.3,1800.1,1464.1,711.1,,
Total_Liabilities,983.3,1150.5,582.2,330.9,,
