AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,5.4,7.9,10.2,10.0,17.1,12.0,13.0,29.7,26.3,10.6,10.4,13.1,0.1,0.3,0.3,0.4,0.6,1.3,0.2,0.5
Current_Liabilities,29.0,54.9,62.5,65.8,76.3,61.1,26.4,12.2,9.4,11.2,8.2,1.7,14.1,9.8,8.2,5.3,6.2,3.6,0.5,0.3
Diluted_EPS,,-19.694,-9.911,-9.897,-210.643,-152.939,-2.516,-23.036,-0.734,-0.566,-0.149,0.195,-1.02,-0.518,-0.484,0.002,0.2,-1.306,-0.153,0.01
Goodwill_Intangibles,18.8,33.6,47.9,52.6,66.0,107.3,111.4,86.7,44.8,13.4,13.5,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.1,0.1,8.1,6.5,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Revenue,4.2,6.4,9.6,11.7,15.7,14.5,16.4,8.8,5.4,2.4,0.2,,,,0.0,,,0.0,0.0,0.0
Shares_Diluted,2.3367,0.7316,0.4484,0.4092,0.3031,0.2254,0.2195,0.2097,16.9503,12.8772,12.173,9.5524,6.1839,5.9242,5.8628,5.9087,5.8222,5.7869,5.7016,5.6754
Total_Assets,24.4,43.2,59.9,64.9,85.7,124.2,128.8,119.7,73.0,25.5,25.4,13.1,0.2,0.3,0.4,0.6,0.7,1.4,0.4,0.6
Total_Liabilities,30.0,61.1,68.2,68.7,83.3,66.6,55.1,44.9,11.6,11.5,8.6,1.7,14.1,9.8,8.2,5.6,6.2,3.6,0.5,0.3
