AAII_QTR_DATA,04/01/2023,12/31/2022,09/24/2022,06/25/2022,03/26/2022,12/25/2021,09/25/2021,06/26/2021,03/27/2021,12/26/2020,09/26/2020,06/27/2020,03/28/2020
Current_Assets,92.5,86.3,84.4,81.9,79.5,75.3,58.9,78.8,64.7,,,,
Current_Liabilities,31.4,32.8,25.7,31.9,28.0,32.0,24.9,29.2,28.9,,,,
Diluted_EPS,-0.011,0.02,0.056,0.025,0.03,-0.047,-0.145,0.121,0.017,-0.071,-0.103,-0.178,0.015
Goodwill_Intangibles,506.8,511.6,516.3,521.1,525.8,530.5,535.3,539.8,544.7,,,,
Inventory,25.2,23.0,23.1,23.0,21.0,19.4,18.9,19.8,14.7,,,,
LT_Debt,371.2,370.9,370.7,370.5,171.6,172.6,174.8,262.4,262.7,0.0,0.0,0.0,0.0
Revenue,49.9,53.5,55.0,53.4,45.4,45.1,49.0,47.9,36.7,29.3,30.5,10.8,32.8
Shares_Diluted,47.9887,45.3275,62.8493,38.1554,63.4721,63.3034,63.7427,63.7427,63.7925,,,,
Total_Assets,750.0,716.0,613.8,617.1,619.3,613.4,601.5,626.4,617.6,,,,
Total_Liabilities,656.6,637.0,543.2,553.2,436.1,434.1,450.1,298.9,298.9,,,,
