AAII_QTR_DATA,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,306.4,298.9,260.1,249.0,244.6,234.5,209.3,207.3,197.4,231.8,173.2,190.3,186.0,195.9,177.9,191.0,188.4
Current_Liabilities,158.7,146.6,131.6,158.0,142.4,135.7,112.2,130.2,106.9,79.0,90.6,109.8,86.6,84.4,71.7,102.4,95.1
Diluted_EPS,0.781,0.797,0.338,0.625,0.407,0.433,0.236,0.676,0.331,0.168,0.0,-0.941,0.35700000000000004,-0.728,-0.11,0.193,0.306
Goodwill_Intangibles,210.9,216.8,226.5,231.6,236.5,239.2,241.7,239.2,243.9,242.8,250.9,252.9,295.4,305.6,340.3,341.5,
Inventory,138.2,130.4,117.4,92.5,93.5,80.4,76.1,61.2,63.9,75.1,78.1,67.2,84.8,86.6,81.4,70.7,87.1
LT_Debt,55.5,75.7,76.7,52.1,72.4,87.2,112.1,116.7,152.1,229.7,166.7,156.4,191.1,224.7,229.6,209.3,193.7
Revenue,324.0,322.9,267.0,291.8,279.9,270.4,230.1,255.4,212.1,187.5,196.6,240.4,238.5,218.2,196.8,244.1,239.8
Shares_Diluted,33.173,33.291,33.298,33.426,33.65,33.637,33.212,32.749,32.739000000000004,32.793,33.078,32.888000000000005,33.162,32.951,33.098,34.725,35.12
Total_Assets,743.6,740.5,718.3,717.3,719.2,715.6,694.3,691.6,686.8,712.9,667.2,645.1,680.1,707.0,725.7,743.2,751.5
Total_Liabilities,293.5,304.3,293.8,297.5,313.8,320.5,316.6,335.8,346.9,388.9,337.3,314.9,318.7,346.2,335.9,348.0,327.8
