AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,09/30/2019,12/31/2018,09/30/2018
Current_Assets,66.3,68.4,39.6,41.8,30.2,14.6,15.4,18.5,,
Current_Liabilities,61.9,57.5,34.3,10.3,12.5,8.5,9.8,12.3,,
Diluted_EPS,0.011,0.079,-0.04,-0.022,0.066,0.012,0.05,0.082,0.065,0.164
Goodwill_Intangibles,33.2,34.4,14.2,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.4,0.5,0.4,0.1,0.2,0.2,0.5,1.7,0.0,0.0
Revenue,53.7,60.3,7.8,9.6,9.9,8.9,8.7,20.7,8.1,19.6
Shares_Diluted,21.9743,20.8854,14.4895,15.9854,10.268,9.0,12.45,12.45,,
Total_Assets,111.5,122.7,76.4,45.0,33.9,18.8,20.4,23.1,,
Total_Liabilities,63.4,58.0,34.7,10.4,12.7,8.7,10.4,13.9,,
