AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,6153.0,6143.0,5829.0,6150.0,7844.0,8261.0,6375.0,6681.0,6346.0,6493.0,6271.0,6392.0,5514.0,,,,
Current_Liabilities,6823.0,6843.0,5992.0,6338.0,6242.0,6247.0,6363.0,6716.0,6395.0,6673.0,6291.0,5762.0,5355.0,,,,
Diluted_EPS,0.792,0.709,0.769,0.757,0.727,0.654,0.769,0.755,0.71,0.576,0.611,0.516,0.381,2.577,0.732,0.711,0.63
Goodwill_Intangibles,1930.0,1936.0,1794.0,1935.0,2033.0,2086.0,2136.0,2200.0,2175.0,2257.0,2189.0,2097.0,2070.0,,,,
Inventory,642.0,617.0,603.0,596.0,626.0,622.0,628.0,673.0,686.0,659.0,667.0,629.0,599.0,,,,
LT_Debt,6116.0,6098.0,6459.0,6602.0,6694.0,7249.0,5458.0,5457.0,5457.0,5262.0,5512.0,6260.0,6258.0,0.0,0.0,0.0,0.0
Revenue,3346.0,3439.0,3344.0,3488.0,3414.0,3569.0,3620.0,3701.0,3408.0,3493.0,3268.0,3029.0,2966.0,13118.0,3313.0,3351.0,3101.0
Shares_Diluted,417.8,419.1,421.2,424.2,427.7,429.6,430.6,431.6,433.7,436.1,435.1,434.1,433.1,,,,
Total_Assets,9845.0,9819.0,9342.0,9913.0,11795.0,12279.0,10472.0,10857.0,10505.0,10710.0,10473.0,10441.0,9524.0,,,,
Total_Liabilities,14702.0,14689.0,14255.0,14910.0,16824.0,15904.0,14326.0,14713.0,14415.0,14542.0,14497.0,14683.0,14345.0,,,,
