AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,18.6,17.3,16.6,20.8,18.9,19.2,10.9,14.8
Current_Liabilities,8.9,9.2,9.9,14.6,12.9,13.8,6.4,8.7
Diluted_EPS,0.04,0.158,0.02,0.052,0.024,0.01,0.038,0.028
Goodwill_Intangibles,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7
Inventory,0.3,0.2,1.5,2.0,0.2,0.1,0.3,0.2
LT_Debt,0.0,0.0,0.0,0.1,0.0,0.3,0.3,1.4
Revenue,1.4,4.8,3.6,3.5,2.3,3.2,3.3,2.6
Shares_Diluted,,,,,,,,
Total_Assets,26.1,25.1,24.8,29.8,28.5,28.9,20.8,23.9
Total_Liabilities,9.2,9.4,10.2,14.9,13.2,14.3,7.0,10.5
