AAII_QTR_DATA,01/28/2023,10/29/2022,07/30/2022,04/30/2022,01/29/2022,10/30/2021,07/31/2021,05/01/2021,01/30/2021,10/31/2020,08/01/2020,05/02/2020,02/01/2020,11/02/2019,08/03/2019,05/04/2019,02/02/2019,11/03/2018
Current_Assets,1703.2,1863.3,1802.5,1769.3,1517.1,1599.3,1291.6,1435.5,1470.6,1596.0,1408.8,1398.4,1360.0,1542.4,1265.3,1343.2,1337.2,1560.0
Current_Liabilities,2545.3,2600.0,2484.1,2209.1,2002.5,2104.1,1839.2,2035.9,2031.2,2210.4,1764.2,1720.2,1801.4,2051.8,1611.1,1673.9,1577.7,1853.8
Diluted_EPS,0.954,0.951,1.033,0.823,0.783,0.917,0.803,0.588,0.692,0.883,0.764,0.6920000000000001,0.302,0.3989999999999999,0.391,0.255,0.46,0.391
Goodwill_Intangibles,1124.3,1126.6,1128.9,1046.5,1048.8,1051.4,1054.0,1056.6,1059.3,1062.2,1065.2,1068.2,1071.1,1074.5,1077.9,1081.2,1125.0,1130.8
Inventory,1378.6,1504.4,1376.5,1462.1,1242.9,1255.7,1033.6,1120.3,1205.7,1264.3,1005.3,1024.9,1081.5,1271.2,1026.5,1085.6,1052.3,1245.1
LT_Debt,447.9,600.1,699.4,749.0,748.6,748.1,747.7,747.3,846.2,845.7,1202.2,1334.8,1337.3,1339.7,1540.6,1543.5,1546.5,1549.4
Revenue,4929.6,4785.3,5103.8,4496.4,4357.8,4264.1,4177.2,3868.2,3946.6,3731.7,3954.1,3797.6,3472.3,3229.4,3345.8,3143.1,3416.9,3221.7
Shares_Diluted,136.029,136.621,136.567,136.702,137.3141,138.005,138.197,138.662,138.495,139.06,139.52200000000002,138.4277,138.266,138.192,139.516,140.463,139.7088,139.3677
Total_Assets,6350.0,6478.9,6387.2,6010.0,5668.9,5710.2,5347.6,5449.2,5411.5,5482.3,5294.0,5328.1,5269.8,5478.1,5152.1,5226.7,3239.3,3465.0
Total_Liabilities,5303.1,5536.0,5533.7,5288.7,5020.8,5142.5,4859.2,5035.7,5092.2,5264.9,5174.9,5295.6,5324.1,5582.6,5316.7,5375.0,3441.4,3721.6
