AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,46.6,44.8,44.4,51.2,54.4,62.6,58.0,56.5,56.7,51.2,36.5,55.0,42.7,60.6,53.4,41.4,25.5,20.9
Current_Liabilities,22.1,12.3,14.9,18.4,22.5,27.8,28.6,30.4,33.4,23.8,19.6,27.2,23.3,40.9,35.4,27.3,16.9,13.9
Diluted_EPS,-0.751,-0.074,-0.091,-0.038,0.035,0.118,0.081,0.706,0.138,0.061,-0.073,-0.018,0.075,0.218,0.13,-0.03,-0.022,-0.083
Goodwill_Intangibles,6.2,2.3,2.3,2.4,1.8,1.8,1.9,2.0,2.0,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.7
Inventory,19.3,16.8,18.8,19.8,18.7,19.7,20.6,19.6,18.5,18.1,17.1,14.5,12.2,17.6,14.9,13.4,9.0,8.3
LT_Debt,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.1,0.9,3.8,9.0,9.3,3.4,1.5
Revenue,20.3,17.6,17.9,22.1,30.7,36.5,35.1,35.5,44.3,26.3,10.8,25.9,34.2,48.3,42.4,22.4,16.3,13.2
Shares_Diluted,32.0478,31.33,31.1384,31.096,31.2349,31.0311,30.8602,31.3468,31.3204,31.1701,30.3522,30.2582,30.8241,30.8304,30.5509,29.5873,29.56900000000001,29.4884
Total_Assets,68.3,81.2,80.6,86.8,91.9,96.6,93.6,92.8,73.7,67.7,53.4,72.6,57.0,75.0,67.9,56.0,40.3,35.9
Total_Liabilities,30.2,20.2,18.0,21.7,25.8,31.9,32.8,34.7,37.9,36.4,24.3,41.5,25.6,46.1,45.9,38.1,21.7,16.8
