AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016
Current_Assets,3165.2,3291.2,3377.0,3324.4,2721.3,1755.2,1362.9,1342.5,880.0,883.4,753.6,1114.6,521.7
Current_Liabilities,1053.2,979.0,1070.0,1216.2,910.9,893.7,746.3,1060.4,847.4,477.6,529.7,1081.0,423.7
Diluted_EPS,0.47,0.884,0.595,1.737,1.491,0.664,0.023,-0.023,-0.264,0.008,0.038,-0.887,0.505
Goodwill_Intangibles,433.5,416.0,402.5,363.4,373.2,435.6,357.1,359.1,399.0,437.8,401.5,495.2,63.4
Inventory,1374.3,1406.7,1306.4,1533.4,1299.8,876.3,807.6,740.2,306.6,264.4,221.4,215.4,45.8
LT_Debt,1188.4,1094.5,1061.0,563.7,923.0,1319.5,1248.6,1142.5,1060.7,1770.4,1506.2,1646.1,556.8
Revenue,3537.4,3666.0,4283.9,4685.7,3769.9,2865.9,2572.8,1225.9,1548.9,1492.7,1675.7,1397.6,1119.8
Shares_Diluted,707.6635,707.727,718.9043,744.7188,696.0412,736.664,704.0857,585.3918,565.9642,571.6745,611.8102,393.7901,421.1248
Total_Assets,8679.8,8260.9,7969.5,7628.9,6985.4,6262.4,5264.8,5156.6,4917.9,5062.1,4775.8,6002.6,2825.4
Total_Liabilities,4090.6,3756.5,3833.9,3356.8,3418.3,3937.5,3719.3,3645.7,3540.3,3470.6,3270.4,4253.9,1711.3
