AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,40.5,52.9,86.7,101.8,139.5,179.1,202.6,143.9
Current_Liabilities,29.6,29.5,28.9,32.8,24.2,30.7,58.1,59.5
Diluted_EPS,-3.135,-10.807,-14.865,-10.107,-17.555,-10.675,-10.767,-16.184
Goodwill_Intangibles,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6
Inventory,14.3,12.8,22.1,22.0,22.8,25.0,23.2,22.0
LT_Debt,263.7,244.6,259.5,256.2,251.3,232.5,220.1,167.0
Revenue,10.0,8.9,8.8,9.8,10.2,9.5,9.1,9.6
Shares_Diluted,4.2507,4.2497,2.6148,2.5639,2.5532,2.5392,2.5348,2.5253
Total_Assets,119.3,127.9,174.6,194.0,208.8,249.6,276.5,219.8
Total_Liabilities,328.2,310.0,325.7,338.1,334.4,334.9,337.7,255.4
