AAII_QTR_DATA,12/31/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,47.8,50.8,0.1,55.8,0.6,48.8,0.0
Current_Liabilities,28.3,39.0,6.9,38.0,6.0,27.7,0.4
Diluted_EPS,-1.227,-0.119,0.042,-0.118,0.057,-0.08,-0.001
Goodwill_Intangibles,0.1,2.3,0.0,3.4,0.0,2.9,0.0
Inventory,0.1,0.1,0.0,0.2,0.0,0.2,0.0
LT_Debt,8.3,10.1,0.0,10.8,0.0,9.9,0.0
Revenue,22.4,13.8,,42.2,0.0,15.1,0.0
Shares_Diluted,71.3577,72.7185,21.735,72.7185,21.735,72.7185,21.735
Total_Assets,65.3,85.8,169.3,94.9,169.8,85.9,0.4
Total_Liabilities,36.7,49.2,11.5,49.0,11.6,37.9,0.4
